time,ax,ay,az
0,0.01,0.01,0.06
0.051,0.01,-0.05,0.06
0.141,-0.05,-0.01,0.01
0.234,-0.02,0.04,0.01
0.331,-0.03,0.0,0.01
0.413,-0.02,-0.03,0.0
0.504,-0.01,-0.01,-0.0
0.599,0.01,0.02,0.01
0.685,-0.0,0.04,0.03
0.777,0.01,0.0,0.01
0.877,0.02,-0.01,0.02
0.957,-0.02,-0.01,0.0
1.048,-0.01,-0.02,0.02
1.143,0.01,0.02,0.01
1.238,-0.05,-0.0,0.0
1.319,0.03,-0.02,0.02
1.41,-0.01,-0.01,0.0
1.507,0.01,-0.01,-0.0
1.59,0.0,0.0,-0.0
1.684,0.01,0.01,0.01
1.782,-0.03,-0.02,-0.0
1.862,0.03,-0.01,-0.01
1.955,-0.06,0.01,-0.0
2.046,-0.0,-0.01,-0.0
2.144,-0.02,0.0,-0.0
2.225,-0.01,0.02,0.0
2.315,-0.01,-0.03,-0.0
2.412,-0.04,-0.09,0.01
2.496,0.0,-0.14,0.01
2.588,-0.12,-0.21,-0.01
2.688,-0.1,-0.16,-0.02
2.768,-0.05,-0.11,0.07
2.859,-0.02,-0.09,0.07
2.951,-0.02,-0.23,0.08
3.049,-0.17,-0.2,-0.08
3.13,0.37,-0.21,-0.06
3.221,-0.3,0.16,0.15
3.315,0.27,-0.03,0.2
3.402,-0.14,-0.11,-0.02
3.493,0.25,-0.11,0.25
3.598,-0.21,-0.02,-0.19
3.674,-0.09,-0.06,-0.03
3.765,-0.16,-0.09,0.04
3.857,-0.45,-0.02,-0.06
3.954,0.29,-0.02,0.2
4.036,-0.13,-0.08,0.29
4.126,0.22,-0.06,0.35
4.222,-0.12,-0.01,-0.44
4.307,-0.0,-0.04,0.04
4.401,-0.09,-0.02,0.22
4.5,-0.37,0.13,0.18
4.579,0.17,-0.02,0.39
4.671,0.15,0.04,-0.1
4.763,0.28,-0.15,-0.03
4.859,-0.29,-0.1,0.07
4.941,-0.05,0.01,-0.14
5.032,0.11,0.01,-0.39
5.127,0.05,-0.13,0.11
5.213,0.36,-0.07,-0.06
5.305,-0.05,-0.02,0.12
5.406,-0.11,-0.04,0.01
5.485,-0.12,-0.12,0.41
5.577,-0.02,-0.06,0.12
5.666,0.15,0.02,-0.22
5.768,-0.11,-0.11,0.0
5.847,0.26,-0.1,-0.14
5.938,-0.17,0.03,-0.3
6.032,0.01,-0.02,0.13
6.119,-0.04,0.08,-0.23
6.214,0.08,-0.03,0.13
6.316,-0.17,-0.09,0.2
6.39,0.18,-0.04,0.48
6.482,-0.15,-0.19,0.0
6.573,-0.02,0.17,-0.16
6.672,-0.01,-0.16,0.04
6.753,-0.09,0.03,-0.08
6.844,0.07,-0.02,-0.17
6.938,-0.06,-0.08,0.07
7.024,0.06,0.03,0.26
7.118,-0.13,0.01,-0.38
7.218,-0.06,0.02,-0.29
7.296,0.0,-0.02,-0.24
7.386,0.07,0.12,-0.52
7.481,0.01,-0.04,-0.08
7.577,-0.1,-0.13,0.55
7.658,-0.11,0.08,0.14
7.749,0.09,0.09,0.12
7.844,-0.07,-0.05,0.1
7.93,0.11,-0.04,-0.03
