time,ax,ay,az
2019-04-17 15:36:40.2880,-0.0,0.04,-0.0
2019-04-17 15:36:40.3640,0.03,0.03,0.01
2019-04-17 15:36:40.4540,-0.02,0.02,-0.0
2019-04-17 15:36:40.5620,-0.01,0.02,-0.0
2019-04-17 15:36:40.6590,-0.01,0.01,-0.0
2019-04-17 15:36:40.7260,0.02,0.04,-0.0
2019-04-17 15:36:40.8160,0.01,0.06,-0.01
2019-04-17 15:36:40.9070,0.01,0.07,0.0
2019-04-17 15:36:40.9970,-0.01,0.03,-0.02
2019-04-17 15:36:41.0880,0.01,0.03,-0.03
2019-04-17 15:36:41.1780,0.04,0.02,0.03
2019-04-17 15:36:41.2720,0.01,0.03,0.02
2019-04-17 15:36:41.3620,0.01,-0.01,-0.01
2019-04-17 15:36:41.4690,0.01,-0.05,0.03
2019-04-17 15:36:41.5620,0.0,-0.06,-0.01
2019-04-17 15:36:41.6320,0.04,-0.01,0.0
2019-04-17 15:36:41.7220,0.02,-0.05,0.03
2019-04-17 15:36:41.8120,0.04,-0.08,0.02
2019-04-17 15:36:41.9030,0.05,-0.07,-0.03
2019-04-17 15:36:41.9930,-0.02,-0.02,0.09
2019-04-17 15:36:42.0840,-0.05,-0.04,0.1
2019-04-17 15:36:42.1760,-0.0,-0.04,0.04
2019-04-17 15:36:42.2750,0.07,-0.07,-0.06
2019-04-17 15:36:42.3700,-0.07,-0.01,0.01
2019-04-17 15:36:42.4740,0.11,-0.03,-0.29
2019-04-17 15:36:42.5370,-0.21,-0.09,-0.24
2019-04-17 15:36:42.6270,0.14,-0.17,-0.04
2019-04-17 15:36:42.7180,-0.21,0.08,-0.31
2019-04-17 15:36:42.8090,0.02,0.06,0.3
2019-04-17 15:36:42.8990,0.02,-0.0,0.43
2019-04-17 15:36:42.9900,0.05,-0.05,0.63
2019-04-17 15:36:43.0860,-0.02,0.05,-0.23
2019-04-17 15:36:43.1770,0.15,-0.07,-0.27
2019-04-17 15:36:43.2750,-0.36,0.09,-0.13
2019-04-17 15:36:43.3800,0.27,-0.08,-0.21
2019-04-17 15:36:43.4430,-0.11,-0.06,0.15
2019-04-17 15:36:43.5330,0.06,-0.04,0.15
2019-04-17 15:36:43.6240,-0.26,0.14,0.44
2019-04-17 15:36:43.7140,-0.23,0.01,0.48
2019-04-17 15:36:43.8050,0.13,0.08,-0.18
2019-04-17 15:36:43.8950,-0.05,-0.01,-0.51
2019-04-17 15:36:43.9890,0.24,-0.1,-0.5
2019-04-17 15:36:44.0850,-0.07,-0.0,0.42
2019-04-17 15:36:44.1820,-0.31,-0.1,-0.02
2019-04-17 15:36:44.2830,0.11,0.13,-0.03
2019-04-17 15:36:44.3480,-0.05,0.13,0.14
2019-04-17 15:36:44.4390,0.14,0.14,-0.47
2019-04-17 15:36:44.5290,-0.07,-0.06,0.15
2019-04-17 15:36:44.6200,0.19,0.13,0.5
2019-04-17 15:36:44.7100,0.63,-0.11,-0.49
2019-04-17 15:36:44.8010,-0.1,-0.08,-0.03
2019-04-17 15:36:44.8940,-0.16,-0.03,-0.37
2019-04-17 15:36:44.9870,0.49,0.08,-0.09
2019-04-17 15:36:45.0910,-0.35,0.03,0.31
2019-04-17 15:36:45.1890,0.38,0.07,0.2
2019-04-17 15:36:45.2540,-0.42,0.02,0.07
2019-04-17 15:36:45.3440,0.19,0.07,0.2
2019-04-17 15:36:45.4350,0.02,-0.07,0.11
2019-04-17 15:36:45.5260,0.24,-0.06,-0.11
2019-04-17 15:36:45.6160,-0.14,0.04,-0.0
2019-04-17 15:36:45.7070,0.09,0.02,0.49
2019-04-17 15:36:45.8020,0.16,0.13,-0.54
2019-04-17 15:36:45.8910,0.17,0.06,0.12
2019-04-17 15:36:45.9940,-0.28,0.01,-0.04
2019-04-17 15:36:46.0950,0.02,0.06,0.91
2019-04-17 15:36:46.1600,-0.17,-0.11,0.43
2019-04-17 15:36:46.2500,-0.0,0.07,-0.21
2019-04-17 15:36:46.3410,0.35,-0.08,-0.37
2019-04-17 15:36:46.4310,0.07,-0.12,0.28
2019-04-17 15:36:46.5220,-0.17,-0.07,0.15
2019-04-17 15:36:46.6120,0.05,-0.0,0.04
2019-04-17 15:36:46.7080,-0.12,0.13,0.5
2019-04-17 15:36:46.7970,0.11,-0.01,0.09
2019-04-17 15:36:46.9040,-0.01,0.19,-0.03
2019-04-17 15:36:47.0000,0.01,-0.11,0.39
2019-04-17 15:36:47.0650,-0.09,0.04,0.37
2019-04-17 15:36:47.1560,0.05,-0.03,0.01
2019-04-17 15:36:47.2460,0.02,-0.0,0.32
2019-04-17 15:36:47.3370,-0.08,0.1,0.14
2019-04-17 15:36:47.4270,0.04,-0.01,0.12
2019-04-17 15:36:47.5180,-0.11,0.05,-0.05
2019-04-17 15:36:47.6100,0.0,-0.19,0.6
2019-04-17 15:36:47.7090,0.01,0.0,0.24
2019-04-17 15:36:47.8040,0.29,-0.05,-0.4
2019-04-17 15:36:47.9070,-0.01,-0.04,-0.35
2019-04-17 15:36:47.9710,-0.11,-0.08,0.09
2019-04-17 15:36:48.0610,0.34,0.04,-0.9
2019-04-17 15:36:48.1520,-0.41,-0.11,-0.47
2019-04-17 15:36:48.2430,0.04,0.09,-0.42
2019-04-17 15:36:48.3330,0.08,-0.03,0.73
2019-04-17 15:36:48.4240,-0.25,0.01,-0.15
2019-04-17 15:36:48.5150,0.14,-0.05,0.23
2019-04-17 15:36:48.6120,-0.03,0.03,-0.22
2019-04-17 15:36:48.7100,-0.11,0.0,0.06
2019-04-17 15:36:48.8160,-0.06,0.12,-0.1
2019-04-17 15:36:48.8760,-0.12,-0.0,0.47
2019-04-17 15:36:48.9670,0.12,0.23,-0.09
2019-04-17 15:36:49.0570,0.03,-0.15,0.59
2019-04-17 15:36:49.1480,0.06,0.21,-0.26
2019-04-17 15:36:49.2390,-0.08,0.04,0.24
2019-04-17 15:36:49.3290,-0.08,0.11,-0.41
2019-04-17 15:36:49.4260,0.03,0.0,-0.54
2019-04-17 15:36:49.5130,-0.12,0.04,-0.3
2019-04-17 15:36:49.6210,-0.09,-0.09,0.03
2019-04-17 15:36:49.7150,0.33,-0.03,-1.1
2019-04-17 15:36:49.7820,0.09,0.19,-0.32
2019-04-17 15:36:49.8730,-0.02,0.07,0.19
2019-04-17 15:36:49.9630,0.08,-0.09,0.4
2019-04-17 15:36:50.0540,-0.09,0.1,0.03
2019-04-17 15:36:50.1440,0.01,0.02,-0.68
2019-04-17 15:36:50.2350,0.11,-0.1,0.09
2019-04-17 15:36:50.3280,-0.07,0.0,-0.46
2019-04-17 15:36:50.4240,0.04,-0.05,-0.1
2019-04-17 15:36:50.5200,0.02,0.01,-0.61
2019-04-17 15:36:50.6250,-0.03,-0.06,0.51
2019-04-17 15:36:50.6880,-0.14,0.08,-0.03
2019-04-17 15:36:50.7780,0.57,-0.15,-0.45
2019-04-17 15:36:50.8690,-0.07,0.14,-0.13
2019-04-17 15:36:50.9600,-0.03,-0.04,0.82
2019-04-17 15:36:51.0500,-0.24,0.14,0.04
2019-04-17 15:36:51.1400,0.06,0.37,0.53
2019-04-17 15:36:51.2320,0.05,-0.08,0.05
2019-04-17 15:36:51.3300,-0.03,0.26,-0.05
2019-04-17 15:36:51.4250,-0.03,-0.15,0.46
2019-04-17 15:36:51.5320,-0.25,-0.05,-0.66
2019-04-17 15:36:51.5930,0.03,0.05,-0.32
2019-04-17 15:36:51.6840,-0.18,-0.01,0.72
2019-04-17 15:36:51.7750,-0.15,0.06,0.65
2019-04-17 15:36:51.8650,0.05,0.09,-0.7
2019-04-17 15:36:51.9560,-0.13,0.13,0.45
2019-04-17 15:36:52.0460,0.02,-0.05,-0.77
2019-04-17 15:36:52.1380,0.03,-0.04,0.38
2019-04-17 15:36:52.2300,0.2,-0.19,-1.02
2019-04-17 15:36:52.3380,0.03,0.02,0.16
2019-04-17 15:36:52.4300,-0.0,0.04,1.33
2019-04-17 15:36:52.4990,-0.01,0.08,0.77
2019-04-17 15:36:52.5900,-0.1,0.13,-0.82
2019-04-17 15:36:52.6800,-0.04,0.08,0.97
2019-04-17 15:36:52.7710,0.09,0.15,-0.34
2019-04-17 15:36:52.8610,0.36,0.03,-0.43
2019-04-17 15:36:52.9520,-0.08,-0.12,-0.49
2019-04-17 15:36:53.0470,-0.02,0.32,-0.23
2019-04-17 15:36:53.1370,0.09,-0.02,-0.13
2019-04-17 15:36:53.2400,-0.03,0.12,-0.55
2019-04-17 15:36:53.3400,-0.07,0.12,-0.19
2019-04-17 15:36:53.4050,0.01,0.02,0.19
2019-04-17 15:36:53.4950,0.2,0.21,-0.76
2019-04-17 15:36:53.5860,0.1,0.13,-0.17
2019-04-17 15:36:53.6760,-0.01,0.18,0.39
2019-04-17 15:36:53.7670,-0.02,0.15,-0.19
2019-04-17 15:36:53.8580,-0.06,-0.13,0.27
2019-04-17 15:36:53.9490,0.18,-0.0,-0.56
2019-04-17 15:36:54.0500,-0.18,0.02,0.35
2019-04-17 15:36:54.1440,-0.08,-0.09,0.36
2019-04-17 15:36:54.2490,0.15,-0.1,-1.65
2019-04-17 15:36:54.3100,0.12,-0.12,0.41
2019-04-17 15:36:54.4010,-0.09,-0.08,0.34
2019-04-17 15:36:54.4920,-0.03,0.37,-0.21
2019-04-17 15:36:54.5820,0.02,0.07,0.14
2019-04-17 15:36:54.6730,0.06,-0.09,0.33
2019-04-17 15:36:54.7630,0.05,0.02,-0.32
2019-04-17 15:36:54.8560,-0.02,-0.17,0.38
2019-04-17 15:36:54.9480,-0.21,0.02,-0.1
2019-04-17 15:36:55.0520,-0.06,0.05,0.37
2019-04-17 15:36:55.1520,-0.06,-0.11,-0.52
2019-04-17 15:36:55.2160,0.21,-0.04,0.22
2019-04-17 15:36:55.3070,-0.0,0.41,-1.4
2019-04-17 15:36:55.3970,0.07,-0.26,0.43
2019-04-17 15:36:55.4880,-0.02,0.04,-0.82
2019-04-17 15:36:55.5780,0.07,-0.25,-0.31
2019-04-17 15:36:55.6690,-0.13,-0.15,-0.33
2019-04-17 15:36:55.7640,0.28,0.18,-1.44
2019-04-17 15:36:55.8550,-0.21,-0.09,-0.67
2019-04-17 15:36:55.9610,-0.12,0.03,-0.14
2019-04-17 15:36:56.0580,-0.06,0.08,0.51
2019-04-17 15:36:56.1220,0.06,0.18,0.38
2019-04-17 15:36:56.2120,-0.07,0.13,0.99
2019-04-17 15:36:56.3030,-0.04,0.06,0.61
2019-04-17 15:36:56.3930,-0.02,-0.01,0.05
2019-04-17 15:36:56.4840,-0.04,0.12,1.11
2019-04-17 15:36:56.5740,0.08,0.13,-0.26
2019-04-17 15:36:56.6670,0.03,0.21,0.51
2019-04-17 15:36:56.7590,-0.18,0.35,0.07
2019-04-17 15:36:56.8640,0.01,0.33,-1.04
2019-04-17 15:36:56.9630,0.02,0.16,-0.23
2019-04-17 15:36:57.0280,0.03,0.1,-0.26
2019-04-17 15:36:57.1180,-0.15,0.2,-0.37
2019-04-17 15:36:57.2090,0.01,0.21,-0.05
2019-04-17 15:36:57.2990,-0.06,0.13,-0.01
2019-04-17 15:36:57.3900,0.01,0.1,-0.25
2019-04-17 15:36:57.4800,-0.02,0.12,0.95
2019-04-17 15:36:57.5760,0.06,0.28,-0.54
2019-04-17 15:36:57.6680,0.03,0.16,-0.16
2019-04-17 15:36:57.7660,-0.09,0.03,0.04
2019-04-17 15:36:57.8740,0.03,0.14,0.07
2019-04-17 15:36:57.9330,-0.17,0.2,-0.03
2019-04-17 15:36:58.0240,0.06,0.09,0.01
2019-04-17 15:36:58.1140,-0.04,0.14,0.03
2019-04-17 15:36:58.2050,-0.09,0.24,-0.02
2019-04-17 15:36:58.2950,-0.17,0.35,-0.03
2019-04-17 15:36:58.3860,0.07,0.22,-0.02
2019-04-17 15:36:58.4780,-0.09,-0.01,0.01
2019-04-17 15:36:58.5750,-0.07,0.05,0.12
2019-04-17 15:36:58.6760,-0.17,-0.0,0.01
2019-04-17 15:36:58.7760,0.01,-0.07,0.0
2019-04-17 15:36:58.8390,0.02,0.03,0.0
2019-04-17 15:36:58.9290,-0.03,-0.01,0.02
2019-04-17 15:36:59.0200,0.01,0.02,-0.0
2019-04-17 15:36:59.1100,0.0,0.02,-0.01
2019-04-17 15:36:59.2010,-0.02,0.0,0.0
2019-04-17 15:36:59.2910,-0.05,0.01,-0.0
2019-04-17 15:36:59.3850,0.0,0.0,-0.0
2019-04-17 15:36:59.4810,-0.02,-0.0,0.0
2019-04-17 15:36:59.5800,-0.02,0.0,0.0
2019-04-17 15:36:59.6800,-0.02,0.01,0.0
2019-04-17 15:36:59.7440,-0.03,0.0,0.0
2019-04-17 15:36:59.8350,0.01,0.01,-0.01
2019-04-17 15:36:59.9260,-0.02,0.0,0.0
2019-04-17 15:37:00.0160,-0.02,0.01,0.0
2019-04-17 15:37:00.1060,0.0,0.01,-0.0
2019-04-17 15:37:00.1970,-0.03,0.0,0.0
2019-04-17 15:37:00.2890,-0.02,0.05,-0.02
2019-04-17 15:37:00.3850,0.02,-0.0,0.02
2019-04-17 15:37:00.4850,0.05,0.02,0.04
2019-04-17 15:37:00.5860,0.03,-0.02,0.01
2019-04-17 15:37:00.6500,0.01,-0.0,0.02
2019-04-17 15:37:00.7410,-0.02,-0.01,0.0
2019-04-17 15:37:00.8310,-0.02,0.01,-0.01
2019-04-17 15:37:00.9220,-0.02,-0.0,0.0
2019-04-17 15:37:01.0120,-0.05,-0.01,-0.0
