time,ax,ay,az
0,0.03,0.03,0.0
0.09,0.06,-0.03,0.01
0.181,-0.02,0.01,0.03
0.271,-0.03,0.06,0.01
0.367,0.0,-0.04,0.02
0.464,-0.04,0.04,0.03
0.56,-0.01,-0.01,0.03
0.634,-0.01,0.03,-0.04
0.726,0.0,-0.0,0.05
0.815,-0.03,0.03,-0.02
0.905,-0.01,0.01,0.01
0.996,0.0,-0.0,-0.01
1.086,-0.03,0.01,-0.03
1.177,-0.01,0.0,-0.03
1.273,-0.01,0.02,-0.0
1.371,0.01,0.0,0.03
1.464,0.02,-0.01,0.05
1.541,-0.03,0.0,-0.01
1.632,-0.01,0.0,0.0
1.72,-0.0,-0.01,0.01
1.811,-0.01,0.0,0.01
1.901,-0.03,0.03,-0.03
1.992,0.02,-0.01,-0.02
2.082,-0.01,0.01,0.0
2.179,-0.01,0.02,0.01
2.276,-0.01,0.02,0.01
2.373,0.0,0.01,0.0
2.445,0.02,-0.02,0.02
2.536,-0.0,-0.01,0.02
2.626,-0.02,0.01,-0.03
2.716,-0.0,-0.01,0.01
2.807,-0.03,0.01,0.0
2.897,-0.02,0.01,0.0
2.988,-0.0,0.0,-0.01
3.083,-0.0,0.01,-0.03
3.184,-0.01,0.02,0.0
3.277,0.01,0.0,0.02
3.351,0.03,-0.01,0.0
3.443,0.02,-0.02,0.03
3.531,-0.02,0.01,-0.01
3.622,-0.01,0.0,0.01
3.712,-0.01,0.01,0.02
3.803,-0.01,-0.02,-0.0
3.893,-0.01,-0.01,-0.02
3.991,-0.02,0.02,-0.02
4.086,0.0,-0.01,0.0
4.186,-0.01,0.01,0.01
4.257,0.01,0.01,0.03
4.347,0.02,-0.0,0.0
4.437,0.02,-0.03,0.06
4.527,-0.0,-0.01,0.01
4.618,0.03,-0.04,0.0
4.709,0.02,-0.04,0.0
4.799,-0.04,-0.05,0.02
4.895,-0.04,-0.09,0.09
4.993,-0.08,-0.09,0.08
5.089,-0.07,-0.15,0.13
5.162,-0.08,-0.13,0.11
5.253,-0.04,-0.14,0.07
5.342,-0.08,-0.12,0.04
5.433,0.0,-0.03,-0.08
5.524,0.08,-0.02,-0.15
5.614,0.09,-0.04,-0.02
5.705,0.01,0.0,-0.05
5.801,0.04,-0.09,0.21
5.898,0.04,-0.1,0.21
5.993,0.03,-0.18,-0.02
6.068,-0.02,-0.07,-0.26
6.159,-0.12,0.07,-0.17
6.248,0.02,-0.04,-0.01
6.339,-0.09,0.07,0.23
6.429,-0.06,-0.03,0.18
6.52,-0.06,-0.11,0.12
6.61,0.02,-0.01,-0.22
6.706,0.1,0.15,-0.35
6.804,0.16,0.07,0.12
6.897,0.08,-0.0,0.03
6.974,0.04,-0.05,0.27
7.064,0.08,-0.11,0.15
7.154,-0.11,-0.02,-0.31
