time,ax,ay,az
2019-04-04 16:50:40.8160,0.05,0.01,0.05
2019-04-04 16:50:40.9070,0.01,-0.02,0.05
2019-04-04 16:50:40.9990,0.05,-0.05,0.06
2019-04-04 16:50:41.0880,-0.01,0.03,0.03
2019-04-04 16:50:41.1790,-0.08,0.02,-0.06
2019-04-04 16:50:41.2690,-0.04,-0.01,0.02
2019-04-04 16:50:41.3600,0.06,0.08,-0.11
2019-04-04 16:50:41.4520,0.04,0.05,0.02
2019-04-04 16:50:41.5550,0.02,-0.02,-0.05
2019-04-04 16:50:41.6310,0.06,-0.02,0.09
2019-04-04 16:50:41.7220,-0.06,-0.01,0.06
2019-04-04 16:50:41.8120,0.01,-0.06,-0.0
2019-04-04 16:50:41.9050,0.01,0.01,-0.03
2019-04-04 16:50:41.9930,-0.03,0.04,0.05
2019-04-04 16:50:42.0840,-0.07,0.01,0.04
2019-04-04 16:50:42.1750,-0.01,0.03,-0.12
2019-04-04 16:50:42.2650,0.05,-0.02,0.11
2019-04-04 16:50:42.3610,-0.06,0.0,0.02
2019-04-04 16:50:42.4590,0.03,-0.04,-0.03
2019-04-04 16:50:42.5370,0.02,0.02,-0.05
2019-04-04 16:50:42.6280,0.01,-0.0,0.06
2019-04-04 16:50:42.7180,-0.02,0.01,0.01
2019-04-04 16:50:42.8090,-0.06,0.04,-0.1
2019-04-04 16:50:42.8990,0.08,0.02,0.0
2019-04-04 16:50:42.9900,-0.03,0.0,0.12
2019-04-04 16:50:43.0800,0.0,-0.04,-0.04
2019-04-04 16:50:43.1710,0.04,-0.01,-0.04
2019-04-04 16:50:43.2660,-0.02,0.02,0.04
2019-04-04 16:50:43.3670,-0.04,0.0,0.01
2019-04-04 16:50:43.4420,-0.04,0.01,-0.07
2019-04-04 16:50:43.5330,0.09,0.0,0.01
2019-04-04 16:50:43.6240,-0.05,0.02,0.09
2019-04-04 16:50:43.7160,0.01,-0.05,0.01
2019-04-04 16:50:43.8050,0.02,-0.0,-0.05
2019-04-04 16:50:43.8950,-0.02,0.01,0.01
2019-04-04 16:50:43.9860,0.01,0.01,0.06
2019-04-04 16:50:44.0760,-0.06,0.02,-0.03
2019-04-04 16:50:44.1700,0.1,-0.02,-0.05
