time,ax,ay,az
0,-0.01,0.04,0.04
0.059,-0.01,0.04,0.04
0.149,-0.01,0.04,0.04
0.24,-0.01,0.04,0.04
0.33,-0.01,0.04,0.04
0.421,-0.01,0.04,0.04
0.512,-0.01,0.04,0.04
0.602,-0.01,0.04,0.04
0.698,-0.01,0.04,0.04
0.799,-0.01,0.04,0.04
0.897,-0.01,0.04,0.04
0.965,-0.01,0.04,0.04
1.055,-0.01,0.04,0.04
1.146,-0.01,0.04,0.04
1.236,-0.01,0.04,0.04
1.327,-0.01,0.04,0.04
1.417,-0.01,0.04,0.04
1.508,-0.01,0.04,0.04
1.605,-0.01,0.04,0.04
1.705,-0.01,0.04,0.04
1.804,-0.01,0.04,0.04
1.87,-0.01,0.04,0.04
1.961,-0.01,0.04,0.04
2.051,-0.01,0.04,0.04
2.142,-0.01,0.04,0.04
2.232,-0.01,0.04,0.04
2.323,-0.01,0.04,0.04
2.413,-0.01,0.04,0.04
2.51,-0.01,0.04,0.04
2.611,-0.01,0.04,0.04
2.706,-0.01,0.04,0.04
2.776,-0.01,0.04,0.04
2.866,-0.01,0.04,0.04
2.957,-0.01,0.04,0.04
3.047,-0.01,0.04,0.04
3.138,-0.01,0.04,0.04
3.228,-0.01,0.04,0.04
3.319,-0.01,0.04,0.04
3.416,-0.01,0.04,0.04
3.515,-0.01,0.04,0.04
3.611,-0.01,0.04,0.04
3.681,-0.01,0.04,0.04
3.772,-0.01,0.04,0.04
3.862,-0.01,0.04,0.04
3.953,-0.01,0.04,0.04
4.043,-0.01,0.04,0.04
4.134,-0.01,0.04,0.04
4.224,-0.01,0.04,0.04
4.321,-0.01,0.04,0.04
4.42,-0.01,0.04,0.04
4.517,-0.01,0.04,0.04
4.587,-0.01,0.04,0.04
4.677,-0.01,0.04,0.04
4.768,-0.01,0.04,0.04
4.858,-0.01,0.04,0.04
4.949,-0.01,0.04,0.04
5.04,-0.01,0.04,0.04
5.13,-0.01,0.04,0.04
5.225,-0.01,0.04,0.04
5.324,-0.01,0.04,0.04
5.423,-0.01,0.04,0.04
5.493,-0.01,0.04,0.04
5.583,-0.01,0.04,0.04
5.674,-0.01,0.04,0.04
5.764,-0.01,0.04,0.04
5.855,-0.01,0.04,0.04
5.945,-0.01,0.04,0.04
6.036,-0.01,0.04,0.04
6.132,-0.01,0.04,0.04
6.231,-0.01,0.04,0.04
6.331,-0.01,0.04,0.04
6.398,-0.01,0.04,0.04
6.489,-0.01,0.04,0.04
6.579,-0.01,0.04,0.04
6.67,-0.01,0.04,0.04
6.76,-0.01,0.04,0.04
6.851,-0.01,0.04,0.04
6.941,-0.01,0.04,0.04
7.038,-0.01,0.04,0.04
7.138,-0.01,0.04,0.04
7.237,-0.01,0.04,0.04
7.304,-0.01,0.04,0.04
7.394,-0.01,0.04,0.04
7.485,-0.01,0.04,0.04
7.575,-0.01,0.04,0.04
