time,ax,ay,az
0,0.03,0.04,-0.02
0.072,0.03,0.04,-0.02
0.163,0.03,0.04,-0.02
0.253,0.03,0.04,-0.02
0.344,0.03,0.04,-0.02
0.434,0.03,0.04,-0.02
0.525,0.03,0.04,-0.02
0.615,0.03,0.04,-0.02
0.713,0.03,0.04,-0.02
0.809,0.03,0.04,-0.02
0.909,0.03,0.04,-0.02
0.978,0.03,0.04,-0.02
1.068,0.03,0.04,-0.02
1.159,0.03,0.04,-0.02
1.249,0.03,0.04,-0.02
1.34,0.03,0.04,-0.02
1.43,0.03,0.04,-0.02
1.521,0.03,0.04,-0.02
1.618,0.03,0.04,-0.02
1.716,0.03,0.04,-0.02
1.813,0.03,0.04,-0.02
1.883,0.03,0.04,-0.02
1.974,0.03,0.04,-0.02
2.064,0.03,0.04,-0.02
2.155,0.03,0.04,-0.02
2.245,0.03,0.04,-0.02
2.336,0.03,0.04,-0.02
2.426,0.03,0.04,-0.02
2.523,0.03,0.04,-0.02
2.624,0.03,0.04,-0.02
2.723,0.03,0.04,-0.02
2.789,0.03,0.04,-0.02
2.879,0.03,0.04,-0.02
2.97,0.03,0.04,-0.02
3.06,0.03,0.04,-0.02
3.151,0.03,0.04,-0.02
3.242,0.03,0.04,-0.02
3.332,0.03,0.04,-0.02
3.428,0.03,0.04,-0.02
3.529,0.03,0.04,-0.02
3.627,0.03,0.04,-0.02
3.695,0.03,0.04,-0.02
3.785,0.03,0.04,-0.02
3.876,0.03,0.04,-0.02
3.966,0.03,0.04,-0.02
4.057,0.03,0.04,-0.02
4.147,0.03,0.04,-0.02
4.238,0.03,0.04,-0.02
4.333,0.03,0.04,-0.02
4.435,0.03,0.04,-0.02
4.533,0.03,0.04,-0.02
4.6,0.03,0.04,-0.02
4.691,0.03,0.04,-0.02
4.781,0.03,0.04,-0.02
4.872,0.03,0.04,-0.02
4.962,0.03,0.04,-0.02
5.053,0.03,0.04,-0.02
5.143,0.03,0.04,-0.02
5.24,0.03,0.04,-0.02
5.341,0.03,0.04,-0.02
5.439,0.03,0.04,-0.02
5.506,0.03,0.04,-0.02
5.596,0.03,0.04,-0.02
5.687,0.03,0.04,-0.02
5.777,0.03,0.04,-0.02
5.868,0.03,0.04,-0.02
5.958,0.03,0.04,-0.02
6.049,0.03,0.04,-0.02
6.143,0.03,0.04,-0.02
6.243,0.03,0.04,-0.02
6.342,0.03,0.04,-0.02
6.411,0.03,0.04,-0.02
6.502,0.03,0.04,-0.02
6.592,0.03,0.04,-0.02
6.683,0.03,0.04,-0.02
6.773,0.03,0.04,-0.02
6.864,0.03,0.04,-0.02
6.954,0.03,0.04,-0.02
7.051,0.03,0.04,-0.02
7.148,0.03,0.04,-0.02
7.247,0.03,0.04,-0.02
7.317,0.03,0.04,-0.02
7.407,0.03,0.04,-0.02
7.498,0.03,0.04,-0.02
7.589,0.03,0.04,-0.02
7.679,0.03,0.04,-0.02
7.77,0.03,0.04,-0.02
7.86,0.03,0.04,-0.02
7.958,0.03,0.04,-0.02
8.054,0.03,0.04,-0.02
8.154,0.03,0.04,-0.02
8.223,0.03,0.04,-0.02
8.313,0.03,0.04,-0.02
8.404,0.03,0.04,-0.02
8.494,0.03,0.04,-0.02
8.585,0.03,0.04,-0.02
8.675,0.03,0.04,-0.02
8.766,0.03,0.04,-0.02
8.862,0.03,0.04,-0.02
8.96,0.03,0.04,-0.02
