time,ax,ay,az
2019-04-04 17:9:26.3460,0.02,0.02,-0.06
2019-04-04 17:9:26.4320,-0.06,0.05,-0.04
2019-04-04 17:9:26.5230,-0.01,0.01,-0.07
2019-04-04 17:9:26.6140,-0.0,0.01,0.02
2019-04-04 17:9:26.7040,0.01,0.02,0.02
2019-04-04 17:9:26.7950,-0.07,0.02,0.05
2019-04-04 17:9:26.8850,0.1,-0.03,-0.08
2019-04-04 17:9:26.9760,-0.05,-0.05,0.1
2019-04-04 17:9:27.0660,0.03,-0.03,-0.01
2019-04-04 17:9:27.1590,0.03,0.04,-0.02
2019-04-04 17:9:27.2580,-0.03,0.01,0.03
2019-04-04 17:9:27.3380,0.04,-0.03,0.04
2019-04-04 17:9:27.4290,-0.0,0.01,-0.0
2019-04-04 17:9:27.5190,-0.01,0.03,-0.02
2019-04-04 17:9:27.6100,-0.05,0.03,0.01
2019-04-04 17:9:27.7000,-0.01,-0.0,-0.01
2019-04-04 17:9:27.7910,0.06,-0.02,0.01
2019-04-04 17:9:27.8810,-0.02,-0.02,0.04
2019-04-04 17:9:27.9730,0.01,-0.02,-0.0
2019-04-04 17:9:28.0630,-0.01,0.02,0.02
2019-04-04 17:9:28.1650,0.01,-0.01,-0.01
2019-04-04 17:9:28.2440,0.0,-0.01,0.01
2019-04-04 17:9:28.3340,0.01,0.0,0.0
2019-04-04 17:9:28.4250,0.01,0.01,-0.0
2019-04-04 17:9:28.5150,0.02,0.03,-0.0
2019-04-04 17:9:28.6060,-0.04,-0.01,-0.01
2019-04-04 17:9:28.6960,0.05,-0.0,-0.03
2019-04-04 17:9:28.7870,0.02,0.0,0.06
2019-04-04 17:9:28.8770,-0.01,-0.02,-0.0
2019-04-04 17:9:28.9690,0.0,0.01,-0.01
2019-04-04 17:9:29.0700,-0.02,0.01,0.02
2019-04-04 17:9:29.1490,0.01,-0.01,0.01
2019-04-04 17:9:29.2400,-0.01,0.01,0.01
2019-04-04 17:9:29.3300,0.0,0.01,0.01
2019-04-04 17:9:29.4210,-0.03,-0.01,-0.04
2019-04-04 17:9:29.5120,0.08,0.03,-0.04
2019-04-04 17:9:29.6020,-0.01,-0.03,0.11
2019-04-04 17:9:29.6930,0.01,-0.03,-0.01
2019-04-04 17:9:29.7830,-0.01,0.03,-0.0
2019-04-04 17:9:29.8750,-0.03,-0.02,0.03
2019-04-04 17:9:29.9720,-0.0,-0.05,0.03
2019-04-04 17:9:30.0550,0.08,-0.04,0.01
2019-04-04 17:9:30.1460,0.01,0.0,0.08
2019-04-04 17:9:30.2360,0.06,0.0,-0.1
2019-04-04 17:9:30.3270,-0.01,-0.11,0.08
2019-04-04 17:9:30.4170,0.13,-0.04,0.11
2019-04-04 17:9:30.5080,0.21,0.03,0.14
2019-04-04 17:9:30.5980,0.13,0.08,0.16
2019-04-04 17:9:30.6890,-0.17,-0.03,0.14
2019-04-04 17:9:30.7810,-0.29,-0.07,-0.12
2019-04-04 17:9:30.8800,-0.32,-0.24,-0.03
2019-04-04 17:9:30.9610,-0.14,-0.22,-0.13
2019-04-04 17:9:31.0510,-0.04,-0.36,-0.14
2019-04-04 17:9:31.1420,-0.06,-0.35,0.01
2019-04-04 17:9:31.2320,-0.13,-0.18,-0.11
2019-04-04 17:9:31.3230,0.12,-0.11,-0.25
2019-04-04 17:9:31.4130,0.23,0.13,-0.23
2019-04-04 17:9:31.5040,0.16,0.04,0.11
2019-04-04 17:9:31.5940,-0.05,0.02,0.44
2019-04-04 17:9:31.6870,-0.07,-0.08,0.34
2019-04-04 17:9:31.7870,-0.11,-0.2,0.09
2019-04-04 17:9:31.8660,-0.08,-0.15,-0.39
2019-04-04 17:9:31.9570,-0.01,0.16,-0.55
2019-04-04 17:9:32.0470,-0.07,0.04,0.37
2019-04-04 17:9:32.1380,-0.01,-0.01,0.29
2019-04-04 17:9:32.2280,-0.08,-0.03,0.26
2019-04-04 17:9:32.3190,0.09,-0.02,-0.27
2019-04-04 17:9:32.4090,0.19,-0.08,-0.22
2019-04-04 17:9:32.5000,0.21,0.11,-0.01
2019-04-04 17:9:32.5910,0.08,0.1,0.32
2019-04-04 17:9:32.6900,0.03,0.06,0.36
2019-04-04 17:9:32.7720,-0.17,-0.21,0.0
2019-04-04 17:9:32.8620,-0.14,-0.34,-0.17
2019-04-04 17:9:32.9530,-0.19,-0.07,-0.15
2019-04-04 17:9:33.0430,0.23,0.15,-0.5
2019-04-04 17:9:33.1340,-0.16,0.15,-0.08
2019-04-04 17:9:33.2240,-0.32,-0.03,0.38
2019-04-04 17:9:33.3150,-0.06,-0.08,0.03
2019-04-04 17:9:33.4050,0.22,0.14,-0.18
2019-04-04 17:9:33.4980,0.13,0.13,-0.39
2019-04-04 17:9:33.5940,0.25,0.09,-0.15
2019-04-04 17:9:33.6770,-0.04,-0.02,0.38
2019-04-04 17:9:33.7680,-0.2,-0.09,0.23
2019-04-04 17:9:33.8580,-0.1,-0.13,0.02
2019-04-04 17:9:33.9490,-0.08,-0.08,-0.2
2019-04-04 17:9:34.0390,0.13,0.12,-0.47
2019-04-04 17:9:34.1300,-0.1,0.06,0.34
2019-04-04 17:9:34.2210,-0.15,0.09,0.4
2019-04-04 17:9:34.3110,-0.11,-0.09,-0.01
2019-04-04 17:9:34.4050,0.26,0.02,-0.33
2019-04-04 17:9:34.5020,0.09,0.23,-0.32
2019-04-04 17:9:34.5830,0.31,0.03,0.1
2019-04-04 17:9:34.6730,0.08,0.02,0.26
2019-04-04 17:9:34.7640,-0.05,-0.1,0.16
2019-04-04 17:9:34.8550,-0.08,-0.14,0.11
2019-04-04 17:9:34.9450,-0.31,-0.15,-0.26
2019-04-04 17:9:35.0360,-0.04,0.1,-0.9
2019-04-04 17:9:35.1260,-0.02,0.16,0.02
2019-04-04 17:9:35.2170,0.02,-0.01,0.68
2019-04-04 17:9:35.3130,-0.11,-0.01,0.38
2019-04-04 17:9:35.4060,0.03,0.02,0.03
2019-04-04 17:9:35.4890,0.2,0.01,-0.22
2019-04-04 17:9:35.5790,0.3,0.16,0.01
2019-04-04 17:9:35.6700,0.05,0.11,-0.19
2019-04-04 17:9:35.7600,-0.02,-0.05,0.14
2019-04-04 17:9:35.8510,-0.1,-0.2,0.22
2019-04-04 17:9:35.9410,-0.17,-0.18,-0.25
2019-04-04 17:9:36.0320,-0.33,-0.1,-0.59
2019-04-04 17:9:36.1230,0.02,0.02,0.02
2019-04-04 17:9:36.2130,-0.0,0.18,0.31
2019-04-04 17:9:36.3120,-0.13,0.15,0.37
2019-04-04 17:9:36.3940,-0.04,0.01,0.05
2019-04-04 17:9:36.4850,0.2,0.09,-0.35
2019-04-04 17:9:36.5750,0.3,0.09,-0.31
2019-04-04 17:9:36.6660,0.07,0.18,-0.03
2019-04-04 17:9:36.7560,-0.04,-0.03,0.35
2019-04-04 17:9:36.8470,-0.09,-0.17,-0.16
2019-04-04 17:9:36.9370,-0.12,-0.14,-0.13
2019-04-04 17:9:37.0280,-0.21,-0.07,-0.47
