time;ax;ay;az;aT
0,002000;0,8786;0,1259;0,6900;1,124
0,003000;0,0668;-0,1591;1,1486;1,161
0,003000;-1,3530;-0,6010;0,8052;1,685
0,003000;-1,2063;-0,2497;0,5171;1,336
0,007000;0,0913;-0,0100;-0,2491;0,265
0,011000;-0,1991;0,2030;-0,8613;0,907
0,016000;0,1132;0,3955;-0,6690;0,785
0,019000;-0,4936;0,3265;-0,3835;0,705
0,023000;-0,4150;0,0101;0,0190;0,416
0,028000;-0,0730;-0,1380;0,6316;0,651
0,035000;1,0389;-0,2542;0,3365;1,121
0,041000;1,0055;-0,0811;-0,0803;1,012
0,043000;0,3148;0,1255;-0,5396;0,637
0,047000;-0,0973;0,2872;-0,6945;0,758
0,050000;-0,4143;0,2613;-0,4210;0,646
0,055000;-0,6939;0,0400;0,1513;0,711
0,059000;-0,0264;-0,1379;0,5268;0,545
0,063000;-0,0693;-0,2303;0,6338;0,678
0,066000;-0,2559;-0,1539;0,3962;0,496
0,070000;-0,2319;-0,0690;-0,1210;0,270
0,079000;-0,1358;0,1570;-0,3865;0,439
0,080000;0,2249;0,1897;-0,4171;0,510
0,082000;0,6323;0,1566;-0,3208;0,726
0,086000;0,3896;-0,0361;0,0050;0,391
0,090000;0,3065;-0,1404;0,2538;0,422
0,094000;-0,0729;-0,2068;0,2583;0,339
0,098000;-0,3716;-0,1280;0,2364;0,459
0,102000;-0,3018;0,0220;0,0949;0,317
0,108000;-0,0432;0,1408;-0,1852;0,237
0,112000;-0,1342;0,1235;-0,2830;0,337
0,114000;-0,1678;0,0469;-0,2540;0,308
0,118000;-0,0050;-0,0386;-0,0622;0,073
0,131000;0,1692;-0,0832;0,1652;0,251
0,131000;0,3310;-0,1018;0,2774;0,444
0,132000;0,2874;-0,0706;0,1575;0,335
0,134000;0,1013;-0,0042;-0,0293;0,106
0,137000;-0,0392;0,0763;-0,2303;0,246
0,142000;-0,1922;0,0589;-0,2397;0,313
0,146000;-0,1870;0,0568;-0,1461;0,244
0,149000;-0,0624;-0,0310;0,0240;0,074
0,154000;-0,1557;-0,0424;0,1891;0,249
0,157000;-0,0625;-0,1474;0,1817;0,242
0,161000;0,0999;-0,0470;0,1288;0,170
0,165000;0,1522;-0,0498;-0,0699;0,175
0,170000;0,2259;0,0287;-0,1822;0,292
0,174000;0,1277;0,0858;-0,2203;0,269
0,178000;0,0323;0,0644;-0,1674;0,182
0,182000;-0,0273;0,0218;0,0098;0,036
0,185000;-0,1228;-0,0376;0,1629;0,207
0,190000;-0,0914;-0,0421;0,1412;0,173
0,195000;-0,0913;-0,0302;0,1243;0,157
0,197000;-0,0961;-0,0258;-0,0075;0,100
0,201000;0,0616;0,0073;-0,1079;0,124
0,207000;0,1211;0,0453;-0,1820;0,223
0,209000;0,1327;0,0192;-0,0741;0,153
0,213000;0,0943;-0,0595;-0,0189;0,113
0,217000;0,0513;-0,0687;0,0792;0,117
0,221000;0,0133;-0,0734;0,1030;0,127
0,228000;-0,0749;-0,0136;0,1004;0,126
0,229000;-0,0939;0,0030;0,0381;0,101
0,233000;-0,1177;0,0123;-0,0672;0,136
0,237000;-0,0196;0,0456;-0,1484;0,157
0,242000;0,0233;0,0050;-0,0980;0,101
0,245000;0,0637;-0,0067;-0,0165;0,066
0,249000;0,1186;-0,0208;0,0290;0,124
0,253000;0,0802;-0,0517;0,0481;0,107
0,258000;0,0562;-0,0374;0,0265;0,073
0,261000;0,0109;0,0389;-0,0430;0,059
0,265000;-0,0535;0,0075;-0,1003;0,114
0,269000;-0,0797;0,0195;-0,0643;0,104
0,286000;-0,0749;0,0076;-0,0451;0,088
0,286000;-0,0653;-0,0089;0,0100;0,067
0,286000;0,0040;-0,0229;0,0052;0,024
0,286000;0,0086;-0,0132;0,0407;0,044
0,289000;0,0369;-0,0014;0,0214;0,043
0,293000;0,0698;0,0079;-0,0168;0,072
0,297000;0,0312;0,0029;-0,0713;0,078
0,300000;-0,0093;0,0241;-0,0731;0,078
0,305000;-0,0447;0,0406;-0,0179;0,063
0,311000;-0,0420;0,0095;0,0345;0,055
0,312000;-0,0653;-0,0023;0,0010;0,065
0,316000;0,0207;0,0239;0,0509;0,060
0,320000;0,0180;0,0045;-0,0018;0,019
0,325000;0,0012;0,0139;-0,0327;0,036
0,328000;0,0414;-0,0266;-0,0656;0,082
0,332000;0,0435;0,0305;-0,0556;0,077
0,336000;0,0503;-0,0195;-0,0385;0,066
0,340000;0,0120;-0,0216;0,0235;0,034
0,344000;-0,0212;0,0000;0,0210;0,030
0,348000;-0,0708;-0,0403;0,0327;0,088
0,352000;-0,0180;-0,0424;0,0372;0,059
0,357000;0,0082;-0,0043;-0,0202;0,022
0,360000;0,0390;0,0004;-0,0438;0,059
0,364000;0,0409;0,0099;-0,0434;0,060
0,367000;0,0215;-0,0258;-0,0098;0,035
0,372000;0,0617;-0,0065;-0,0073;0,063
0,376000;0,0280;-0,0016;0,0070;0,029
0,380000;-0,0267;-0,0063;0,0046;0,028
0,384000;-0,0288;-0,0040;0,0116;0,031
0,388000;-0,0286;0,0506;0,0210;0,062
0,397000;-0,0283;0,0168;-0,0552;0,064
0,398000;-0,0020;0,0214;-0,0096;0,024
0,400000;-0,0044;0,0047;-0,0451;0,046
0,403000;0,0407;0,0260;0,0051;0,049
0,408000;0,0403;0,0472;0,0455;0,077
0,411000;-0,0052;0,0112;0,0190;0,023
0,416000;-0,0098;-0,0554;-0,0026;0,056
