time;gFx;gFy;gFz;TgF
0,003000;-0,3308;0,5790;0,6430;0,926
0,004000;-0,3010;0,6332;0,8218;1,080
0,004000;-0,2365;0,6591;1,0061;1,226
0,020000;-0,1564;0,6503;1,1087;1,295
0,024000;-0,1290;0,6205;1,0725;1,246
0,032000;-0,1798;0,5829;0,9997;1,171
0,042000;-0,2648;0,5262;0,8990;1,075
0,052000;-0,3498;0,4686;0,7872;0,981
0,063000;-0,4080;0,4446;0,6855;0,913
0,081000;-0,4617;0,4642;0,6332;0,911
0,082000;-0,4764;0,5135;0,6069;0,927
0,093000;-0,4402;0,5697;0,6171;0,948
0,103000;-0,3782;0,6181;0,6924;1,002
0,120000;-0,3205;0,6298;0,7715;1,046
0,132000;-0,3127;0,6103;0,8228;1,071
0,133000;-0,3347;0,5854;0,8604;1,093
0,144000;-0,3572;0,5424;0,8600;1,078
0,152000;-0,3845;0,4886;0,8052;1,017
0,162000;-0,4065;0,4735;0,7227;0,955
0,172000;-0,4173;0,5086;0,6538;0,927
0,182000;-0,3855;0,5585;0,6274;0,924
0,193000;-0,3039;0,6020;0,6572;0,942
0,203000;-0,2150;0,6357;0,7383;0,998
0,221000;-0,1666;0,6406;0,7872;1,028
0,227000;-0,1910;0,6152;0,8003;1,027
0,232000;-0,2555;0,5814;0,8047;1,025
0,242000;-0,3254;0,5336;0,7857;1,004
0,252000;-0,3801;0,5038;0,7715;0,997
0,266000;-0,4002;0,4964;0,7354;0,973
0,272000;-0,3772;0,5121;0,7080;0,952
0,282000;-0,3362;0,5482;0,7197;0,965
0,306000;-0,2692;0,5805;0,7632;0,996
0,307000;-0,2106;0,6025;0,8033;1,026
0,312000;-0,2125;0,5995;0,8008;1,023
0,322000;-0,2521;0,5839;0,7764;1,004
0,332000;-0,2981;0,5658;0,7427;0,980
0,342000;-0,3274;0,5585;0,7168;0,966
0,352000;-0,3406;0,5463;0,6943;0,947
0,366000;-0,3435;0,5433;0,6723;0,930
0,372000;-0,3406;0,5365;0,6552;0,913
0,382000;-0,3376;0,5301;0,6601;0,911
0,404000;-0,3367;0,5267;0,6777;0,922
0,405000;-0,3376;0,5453;0,7187;0,963
0,416000;-0,3425;0,5643;0,8013;1,038
0,422000;-0,3474;0,5565;0,8634;1,084
0,432000;-0,3503;0,5360;0,8756;1,085
0,442000;-0,3440;0,5218;0,8429;1,049
0,452000;-0,3230;0,5218;0,7725;0,987
0,466000;-0,3044;0,5502;0,6938;0,936
0,472000;-0,2995;0,5599;0,6113;0,881
0,482000;-0,2878;0,5692;0,5893;0,868
0,535000;-0,2839;0,5683;0,5580;0,845
0,537000;-0,3029;0,5658;0,5819;0,866
0,538000;-0,3454;0,5516;0,6200;0,899
0,538000;-0,3684;0,5345;0,7070;0,960
0,539000;-0,3640;0,5101;0,8121;1,026
0,548000;-0,3332;0,4969;0,8946;1,076
0,553000;-0,2956;0,4906;0,9186;1,083
0,570000;-0,2599;0,4979;0,9088;1,068
0,573000;-0,2424;0,5106;0,8531;1,023
0,609000;-0,2467;0,5257;0,8028;0,991
0,610000;-0,2663;0,5345;0,7544;0,962
0,611000;-0,2971;0,5301;0,7266;0,947
0,613000;-0,3269;0,5023;0,7451;0,956
0,623000;-0,3196;0,4813;0,7764;0,968
0,633000;-0,2770;0,4896;0,8145;0,990
0,643000;-0,2380;0,5077;0,8331;1,004
0,653000;-0,2077;0,5262;0,8409;1,013
0,669000;-0,1935;0,5370;0,8350;1,011
0,673000;-0,1974;0,5345;0,8218;1,000
0,683000;-0,2277;0,5204;0,8277;1,004
0,731000;-0,2707;0,4984;0,8477;1,020
0,732000;-0,3132;0,4632;0,8521;1,019
0,733000;-0,3347;0,4437;0,8453;1,012
0,733000;-0,3240;0,4466;0,8174;0,986
0,734000;-0,3064;0,4696;0,7710;0,953
0,743000;-0,2839;0,4837;0,7432;0,931
0,753000;-0,2536;0,5008;0,7319;0,922
0,763000;-0,2096;0,5111;0,7583;0,938
0,773000;-0,1783;0,5140;0,7974;0,965
0,785000;-0,1871;0,5072;0,8370;0,996
0,793000;-0,2209;0,4891;0,8585;1,012
0,803000;-0,2614;0,4720;0,8560;1,012
0,848000;-0,3044;0,4525;0,8380;1,000
0,849000;-0,3547;0,4266;0,8517;1,016
0,850000;-0,3723;0,4187;0,8541;1,021
0,851000;-0,3630;0,4241;0,8350;1,004
0,853000;-0,3327;0,4378;0,8174;0,985
0,863000;-0,2956;0,4564;0,8077;0,974
0,873000;-0,2653;0,4656;0,8131;0,974
0,884000;-0,2458;0,4818;0,8052;0,970
0,934000;-0,2575;0,4857;0,8008;0,971
0,935000;-0,2829;0,4759;0,8082;0,980
0,935000;-0,2990;0,4647;0,8038;0,975
0,936000;-0,3044;0,4554;0,7862;0,958
0,936000;-0,3108;0,4441;0,7710;0,943
0,946000;-0,3176;0,4349;0,7676;0,938
0,953000;-0,3078;0,4324;0,7989;0,959
0,963000;-0,2902;0,4285;0,8433;0,989
0,973000;-0,2897;0,4319;0,8727;1,016
0,984000;-0,3318;0,4427;0,8790;1,039
1,018000;-0,3753;0,4529;0,8702;1,050
1,019000;-0,3821;0,4578;0,8419;1,032
1,020000;-0,3474;0,4510;0,7852;0,970
1,023000;-0,2995;0,4617;0,7222;0,908
1,033000;-0,2702;0,4867;0,6767;0,876
1,043000;-0,2565;0,4945;0,6758;0,876
1,053000;-0,2477;0,4901;0,7290;0,913
1,068000;-0,2340;0,4847;0,8116;0,974
1,073000;-0,2179;0,4793;0,8819;1,027
1,083000;-0,2199;0,4735;0,9127;1,051
1,135000;-0,2380;0,4564;0,9249;1,058
1,136000;-0,2546;0,4358;0,9118;1,042
1,137000;-0,2663;0,4183;0,9088;1,035
1,138000;-0,2726;0,4134;0,9298;1,053
1,138000;-0,2653;0,4183;0,9445;1,066
1,146000;-0,2595;0,4246;0,9425;1,066
1,153000;-0,2624;0,4295;0,9230;1,051
1,163000;-0,2849;0,4256;0,8849;1,022
1,173000;-0,3293;0,4236;0,8394;0,996
1,185000;-0,3626;0,4183;0,8218;0,991
1,237000;-0,3738;0,4104;0,8223;0,992
1,238000;-0,3679;0,4007;0,8262;0,989
1,239000;-0,3572;0,3977;0,8145;0,974
1,239000;-0,3274;0,4104;0,8087;0,964
1,240000;-0,3010;0,4124;0,8028;0,951
1,249000;-0,2829;0,4158;0,7964;0,942
1,253000;-0,2717;0,4192;0,8067;0,949
1,265000;-0,2599;0,4104;0,8658;0,993
1,273000;-0,2629;0,3875;0,9235;1,035
1,321000;-0,2585;0,3738;0,9318;1,037
1,322000;-0,2775;0,3718;0,9352;1,044
1,323000;-0,3112;0,3904;0,9245;1,051
1,324000;-0,3176;0,4173;0,8839;1,028
1,325000;-0,3147;0,4310;0,8443;0,999
1,333000;-0,2981;0,4432;0,8013;0,963
1,343000;-0,2702;0,4603;0,8067;0,967
1,353000;-0,2355;0,4691;0,8473;0,997
1,363000;-0,2130;0,4696;0,8976;1,035
1,373000;-0,2091;0,4598;0,9357;1,063
1,388000;-0,2194;0,4549;0,9484;1,074
1,446000;-0,2218;0,4676;0,9264;1,061
1,448000;-0,2155;0,4920;0,9088;1,056
1,448000;-0,2038;0,5042;0,8839;1,038
1,449000;-0,1974;0,4950;0,8771;1,026
1,450000;-0,2062;0,4720;0,8644;1,006
1,450000;-0,2272;0,4510;0,8482;0,987
1,452000;-0,2238;0,4495;0,8375;0,976
1,463000;-0,2497;0,4476;0,8087;0,957
1,473000;-0,2731;0,4490;0,7593;0,923
1,485000;-0,2897;0,4588;0,7046;0,889
1,547000;-0,2946;0,4744;0,6543;0,860
1,549000;-0,2834;0,4920;0,6391;0,855
1,549000;-0,2531;0,5008;0,6753;0,878
1,550000;-0,2096;0,5155;0,7554;0,938
1,551000;-0,1862;0,5204;0,8126;0,983
1,552000;-0,1940;0,5101;0,8678;1,025
1,553000;-0,2057;0,4886;0,8946;1,040
1,562000;-0,2267;0,4686;0,8844;1,026
1,573000;-0,2433;0,4583;0,8604;1,005
1,585000;-0,2419;0,4559;0,8184;0,968
1,634000;-0,2199;0,4529;0,7774;0,926
1,635000;-0,1920;0,4622;0,7622;0,912
1,635000;-0,1749;0,4803;0,7735;0,927
1,636000;-0,1393;0,4896;0,7872;0,937
