time;ax;ay;az;aT
0,002000;-0,1438;0,0030;-0,6280;0,644
0,003000;-0,0062;0,5056;-0,2685;0,572
0,003000;0,0268;0,5004;0,3033;0,586
0,003000;0,0456;0,4332;0,2598;0,507
0,008000;-0,0508;0,3254;0,0179;0,330
0,009000;0,0137;0,5283;0,0274;0,529
0,012000;-0,0603;0,4198;-0,2669;0,501
0,016000;0,0086;0,3472;-0,0228;0,348
0,021000;-0,0403;0,3324;0,3502;0,485
0,027000;0,0019;0,0931;0,1489;0,176
0,032000;0,1481;-0,1217;0,3402;0,390
0,035000;0,0772;0,0677;0,1318;0,167
0,039000;-0,0521;0,0265;-0,2415;0,248
0,044000;-0,1404;0,2695;-0,0907;0,317
0,047000;-0,1004;-0,1023;-0,2030;0,249
0,051000;0,0421;0,2397;0,2229;0,330
0,069000;-0,0415;-0,0401;0,1413;0,153
0,069000;-0,1081;0,0297;0,0408;0,119
0,069000;0,1259;0,0225;0,1412;0,190
0,070000;-0,0225;0,0698;0,1457;0,163
0,072000;0,0640;0,0643;0,0498;0,104
0,077000;-0,0129;0,2003;-0,0269;0,202
0,080000;0,1014;0,2906;-0,1368;0,337
0,083000;-0,0734;0,3380;-0,1630;0,382
0,087000;0,0436;0,3446;0,0094;0,347
0,092000;-0,0624;0,3823;0,1218;0,406
0,095000;0,1307;0,4846;0,1288;0,518
0,099000;0,1591;0,3116;0,0067;0,350
0,103000;0,4009;0,3661;0,0712;0,548
0,107000;0,0282;-0,0361;0,0615;0,077
0,111000;0,1832;-0,0739;0,4416;0,484
0,115000;-0,5503;-0,0186;0,1589;0,573
0,119000;0,2928;0,1313;-0,0663;0,328
0,123000;-0,5982;0,1821;-0,0570;0,628
0,127000;-0,1400;-0,1112;-0,0787;0,195
0,131000;-0,2672;0,1189;0,0771;0,302
0,135000;0,5256;0,3358;-0,1162;0,634
0,139000;-0,0665;0,1265;-0,2760;0,311
0,143000;0,0306;-0,1934;0,1596;0,253
0,147000;-0,0734;-0,0565;0,6377;0,644
0,151000;0,2094;-0,0683;0,2734;0,351
0,156000;0,0089;0,0751;-0,2507;0,262
0,159000;0,0332;0,2202;-0,5709;0,613
0,163000;-0,3019;0,1042;-0,4532;0,554
0,166000;-0,1145;0,3355;0,0518;0,358
0,172000;-0,3147;0,2348;0,1306;0,414
0,175000;0,1266;-0,1069;0,0612;0,177
0,178000;0,1877;0,1712;0,2716;0,372
0,183000;-0,0267;0,0519;-0,1735;0,183
0,195000;0,1661;0,3176;-0,3980;0,536
0,196000;0,0013;0,1548;-0,6127;0,632
0,196000;0,0263;0,2383;0,0170;0,240
0,198000;-0,3973;0,1254;0,7606;0,867
0,203000;0,1412;-0,1929;0,7715;0,808
0,206000;-0,2780;0,3885;0,2254;0,528
0,210000;0,2270;0,3821;-1,0543;1,144
0,215000;-0,2702;0,1407;-0,8788;0,930
0,218000;0,1151;-0,2190;0,3871;0,459
0,223000;-0,1459;-0,4997;0,8506;0,997
0,227000;-0,2712;0,1705;0,6944;0,765
0,230000;-0,3390;0,4886;-0,4064;0,720
0,234000;0,2098;-0,0095;-0,7412;0,770
0,239000;-0,3188;0,1478;-0,0736;0,359
0,243000;0,3579;-0,0067;0,0793;0,367
0,246000;-0,2973;0,2428;-0,0426;0,386
0,250000;-0,0704;0,3412;-0,2170;0,410
0,258000;-0,3077;0,2400;-0,3552;0,528
0,259000;0,8606;0,2513;0,4298;0,994
0,263000;0,3109;-0,2345;0,1950;0,435
0,266000;0,3137;0,3839;-0,0133;0,496
0,271000;0,3127;0,3771;-0,3311;0,591
0,280000;0,4444;0,0722;-0,5173;0,686
0,281000;0,3137;0,1234;0,3559;0,490
0,282000;0,4596;-0,1186;0,4128;0,629
0,286000;-0,1040;-0,1384;-0,0610;0,184
0,290000;0,3262;0,3831;-0,5005;0,710
0,303000;-0,4040;0,4578;-0,5881;0,848
0,304000;-0,2737;0,1744;-0,2910;0,436
0,305000;-1,3872;0,3048;0,9239;1,694
0,306000;-1,2883;-0,6523;1,1309;1,834
0,312000;-0,4303;-0,5047;0,4458;0,799
0,313000;0,2552;0,1925;-0,0640;0,326
0,317000;-0,1391;0,3197;-0,8654;0,933
0,331000;0,2160;-0,1891;-0,1547;0,326
0,332000;0,5545;0,0913;0,7276;0,919
0,332000;-0,0137;-0,5122;-0,0716;0,517
0,333000;0,5026;0,8576;-0,5181;1,121
0,337000;-0,0963;0,3818;-1,1892;1,253
0,344000;0,6375;0,1382;-0,4944;0,818
0,347000;0,3525;-0,7841;1,4715;1,704
0,349000;-0,0133;0,0925;1,5436;1,546
0,353000;-0,7580;-0,4529;0,0926;0,888
0,357000;0,2885;0,8502;-0,4527;1,005
0,362000;-0,3935;0,3201;-1,2536;1,352
0,365000;-1,0157;-0,0293;-0,5352;1,148
0,370000;-0,8223;0,0867;0,6852;1,074
0,374000;0,2833;-0,3538;0,5083;0,681
0,379000;0,8980;0,5616;0,2453;1,087
0,382000;0,1013;-0,0618;-0,1954;0,229
0,385000;-0,0281;0,4330;0,0143;0,434
0,390000;0,1915;-0,1370;0,4558;0,513
0,393000;1,0349;-0,4883;0,1444;1,153
0,397000;-0,0197;0,1944;-1,0074;1,026
0,401000;0,8192;0,3136;-1,4404;1,686
0,405000;-0,0740;0,3128;-0,2311;0,396
0,409000;0,0846;-0,6265;1,1410;1,304
0,413000;-0,6841;-0,1331;2,3563;2,457
0,417000;-0,7712;-1,0285;0,0820;1,288
0,421000;-0,6097;1,3221;-0,8333;1,678
0,427000;-0,5013;-0,0118;-2,4105;2,462
0,429000;-0,6840;0,0235;0,3753;0,781
0,433000;-0,2300;-0,2482;1,7186;1,752
0,437000;-0,1214;-0,4114;0,6313;0,763
0,447000;0,7376;0,9205;-0,3949;1,244
0,447000;0,4111;-0,1321;-1,9682;2,015
0,449000;0,7146;0,3178;-0,1203;0,791
0,453000;0,2551;0,0464;1,1541;1,183
