time;gFx;gFy;gFz;TgF
0,002000;0,2805;0,9582;-0,0838;1,002
0,002000;0,2863;0,9606;-0,0826;1,006
0,003000;0,2849;0,9601;-0,0767;1,004
0,003000;0,2924;0,9604;-0,0740;1,007
0,003000;0,2885;0,9582;-0,0667;1,003
0,008000;0,2893;0,9604;-0,0616;1,005
0,017000;0,2844;0,9594;-0,0413;1,001
0,028000;0,2819;0,9574;-0,0161;0,998
0,028000;0,2846;0,9550;-0,0078;0,997
0,031000;0,2807;0,9596;0,0005;1,000
0,037000;0,2853;0,9560;0,0034;0,998
0,043000;0,2893;0,9538;0,0068;0,997
0,047000;0,2907;0,9538;0,0039;0,997
0,050000;0,2900;0,9567;0,0015;1,000
0,055000;0,2861;0,9565;-0,0061;0,998
0,059000;0,2897;0,9579;-0,0156;1,001
0,063000;0,2853;0,9557;-0,0200;0,998
0,067000;0,2873;0,9587;-0,0318;1,001
0,070000;0,2810;0,9565;-0,0440;0,998
0,074000;0,2788;0,9594;-0,0464;1,000
0,078000;0,2829;0,9574;-0,0559;1,000
0,082000;0,2849;0,9618;-0,0645;1,005
0,087000;0,2858;0,9621;-0,0716;1,006
0,091000;0,2895;0,9596;-0,0706;1,005
0,094000;0,2905;0,9611;-0,0721;1,007
0,098000;0,2905;0,9628;-0,0784;1,009
0,103000;0,2905;0,9601;-0,0789;1,006
0,107000;0,2919;0,9626;-0,0792;1,009
0,110000;0,2841;0,9560;-0,0779;1,000
0,114000;0,2849;0,9635;-0,0740;1,007
0,119000;0,2883;0,9584;-0,0691;1,003
0,122000;0,2836;0,9584;-0,0623;1,001
0,126000;0,2856;0,9633;-0,0564;1,006
0,130000;0,2902;0,9579;-0,0450;1,002
0,134000;0,2885;0,9567;-0,0362;1,000
0,138000;0,2897;0,9567;-0,0320;1,000
0,142000;0,2858;0,9604;-0,0242;1,002
0,146000;0,2871;0,9596;-0,0200;1,002
0,150000;0,2839;0,9579;-0,0122;0,999
0,159000;0,2824;0,9572;-0,0166;0,998
0,160000;0,2841;0,9589;-0,0112;1,000
0,162000;0,2853;0,9618;-0,0117;1,003
0,165000;0,2890;0,9587;-0,0191;1,001
0,170000;0,2844;0,9569;-0,0186;0,998
0,174000;0,2858;0,9579;-0,0276;1,000
0,178000;0,2829;0,9599;-0,0322;1,001
0,182000;0,2856;0,9596;-0,0384;1,002
0,187000;0,2856;0,9535;-0,0428;0,996
0,191000;0,2897;0,9601;-0,0430;1,004
0,194000;0,2871;0,9582;-0,0471;1,001
0,198000;0,2871;0,9582;-0,0491;1,001
0,203000;0,2844;0,9589;-0,0564;1,002
0,206000;0,2853;0,9587;-0,0503;1,001
0,210000;0,2807;0,9533;-0,0557;0,995
0,214000;0,2863;0,9599;-0,0520;1,003
0,217000;0,2856;0,9577;-0,0508;1,001
0,224000;0,2890;0,9591;-0,0493;1,003
0,225000;0,2858;0,9604;-0,0515;1,003
0,229000;0,2875;0,9560;-0,0525;1,000
0,233000;0,2832;0,9587;-0,0476;1,001
0,238000;0,2829;0,9557;-0,0467;0,998
0,241000;0,2861;0,9601;-0,0420;1,003
0,245000;0,2890;0,9557;-0,0403;0,999
0,249000;0,2954;0,9565;-0,0374;1,002
0,260000;0,2893;0,9569;-0,0327;1,000
0,260000;0,2924;0,9582;-0,0274;1,002
0,261000;0,2834;0,9579;-0,0266;0,999
0,265000;0,2849;0,9594;-0,0254;1,001
0,281000;0,2849;0,9555;-0,0274;0,997
0,282000;0,2827;0,9589;-0,0296;1,000
0,282000;0,2897;0,9574;-0,0288;1,001
0,282000;0,2822;0,9604;-0,0318;1,001
0,287000;0,2885;0,9572;-0,0366;1,000
0,289000;0,2915;0,9594;-0,0432;1,004
0,293000;0,2863;0,9599;-0,0406;1,002
0,297000;0,2863;0,9577;-0,0425;1,000
0,300000;0,2858;0,9599;-0,0486;1,003
0,305000;0,2858;0,9574;-0,0506;1,000
0,308000;0,2895;0,9572;-0,0545;1,001
0,313000;0,2853;0,9577;-0,0559;1,001
0,317000;0,2846;0,9596;-0,0559;1,003
0,321000;0,2839;0,9604;-0,0537;1,003
0,325000;0,2827;0,9633;-0,0562;1,005
0,329000;0,2819;0,9621;-0,0555;1,004
0,332000;0,2810;0,9594;-0,0572;1,001
0,338000;0,2834;0,9567;-0,0599;1,000
0,341000;0,2836;0,9596;-0,0594;1,002
0,345000;0,2861;0,9601;-0,0581;1,004
0,349000;0,2888;0,9584;-0,0621;1,003
0,361000;0,2902;0,9628;-0,0562;1,007
0,361000;0,2929;0,9606;-0,0533;1,006
0,361000;0,2929;0,9565;-0,0555;1,002
0,364000;0,2907;0,9584;-0,0496;1,003
0,368000;0,2851;0,9591;-0,0515;1,002
0,373000;0,2853;0,9596;-0,0474;1,002
0,377000;0,2846;0,9550;-0,0486;0,998
0,380000;0,2829;0,9557;-0,0464;0,998
0,384000;0,2871;0,9560;-0,0454;0,999
0,388000;0,2839;0,9567;-0,0459;0,999
0,392000;0,2817;0,9587;-0,0437;1,000
0,396000;0,2839;0,9594;-0,0408;1,001
0,400000;0,2844;0,9604;-0,0457;1,003
0,404000;0,2871;0,9569;-0,0457;1,000
0,408000;0,2902;0,9572;-0,0413;1,001
0,412000;0,2905;0,9567;-0,0398;1,001
0,416000;0,2934;0,9587;-0,0393;1,003
0,421000;0,2890;0,9582;-0,0398;1,002
0,424000;0,2897;0,9582;-0,0340;1,002
0,428000;0,2902;0,9582;-0,0340;1,002
0,432000;0,2893;0,9579;-0,0352;1,001
0,437000;0,2878;0,9582;-0,0359;1,001
0,440000;0,2844;0,9569;-0,0340;0,999
0,444000;0,2861;0,9557;-0,0362;0,998
0,447000;0,2893;0,9584;-0,0379;1,002
0,451000;0,2900;0,9565;-0,0393;1,000
0,455000;0,2939;0,9613;-0,0371;1,006
0,459000;0,2875;0,9582;-0,0391;1,001
0,464000;0,2853;0,9572;-0,0354;0,999
0,468000;0,2846;0,9589;-0,0349;1,001
0,477000;0,2836;0,9572;-0,0384;0,999
0,477000;0,2832;0,9616;-0,0340;1,003
0,479000;0,2873;0,9582;-0,0386;1,001
0,484000;0,2866;0,9616;-0,0410;1,004
0,488000;0,2944;0,9567;-0,0415;1,002
0,492000;0,2907;0,9579;-0,0452;1,002
0,495000;0,2868;0,9621;-0,0450;1,005
0,499000;0,2849;0,9543;-0,0437;0,997
0,504000;0,2832;0,9569;-0,0508;0,999
0,507000;0,2839;0,9565;-0,0493;0,999
0,511000;0,2827;0,9582;-0,0508;1,000
0,515000;0,2827;0,9579;-0,0569;1,000
0,520000;0,2893;0,9574;-0,0572;1,002
0,523000;0,2873;0,9574;-0,0550;1,001
0,527000;0,2917;0,9606;-0,0596;1,006
0,531000;0,2856;0,9626;-0,0574;1,006
0,535000;0,2885;0,9635;-0,0579;1,007
0,539000;0,2893;0,9587;-0,0581;1,003
0,543000;0,2849;0,9565;-0,0608;1,000
0,547000;0,2853;0,9596;-0,0557;1,003
0,551000;0,2856;0,9584;-0,0611;1,002
0,555000;0,2846;0,9594;-0,0545;1,002
0,559000;0,2834;0,9587;-0,0525;1,001
0,563000;0,2871;0,9584;-0,0493;1,002
0,567000;0,2888;0,9572;-0,0486;1,001
0,578000;0,2900;0,9577;-0,0464;1,002
0,578000;0,2853;0,9557;-0,0410;0,998
0,578000;0,2863;0,9601;-0,0432;1,003
0,583000;0,2912;0,9609;-0,0420;1,005
0,587000;0,2868;0,9582;-0,0379;1,001
0,593000;0,2880;0,9584;-0,0374;1,001
0,594000;0,2849;0,9594;-0,0320;1,001
0,598000;0,2888;0,9628;-0,0344;1,006
0,604000;0,2853;0,9565;-0,0357;0,999
0,607000;0,2856;0,9565;-0,0325;0,999
0,610000;0,2878;0,9572;-0,0340;1,000
0,614000;0,2883;0,9616;-0,0379;1,005
0,618000;0,2944;0,9569;-0,0340;1,002
0,622000;0,2875;0,9609;-0,0332;1,004
0,626000;0,2841;0,9511;-0,0357;0,993
0,630000;0,2893;0,9596;-0,0322;1,003
0,634000;0,2868;0,9618;-0,0313;1,004
0,638000;0,2827;0,9604;-0,0388;1,002
0,642000;0,2907;0,9601;-0,0391;1,004
0,646000;0,2873;0,9577;-0,0364;1,001
0,650000;0,2910;0,9591;-0,0415;1,003
0,654000;0,2875;0,9587;-0,0445;1,002
0,658000;0,2888;0,9606;-0,0415;1,004
0,662000;0,2871;0,9584;-0,0447;1,001
0,666000;0,2834;0,9609;-0,0462;1,003
0,671000;0,2841;0,9555;-0,0450;0,998
0,674000;0,2846;0,9589;-0,0503;1,002
0,678000;0,2875;0,9574;-0,0445;1,001
0,682000;0,2888;0,9565;-0,0476;1,000
0,688000;0,2902;0,9596;-0,0491;1,004
0,690000;0,2890;0,9594;-0,0452;1,003
0,694000;0,2856;0,9599;-0,0452;1,002
0,697000;0,2912;0,9601;-0,0442;1,004
0,701000;0,2910;0,9594;-0,0459;1,004
0,710000;0,2880;0,9594;-0,0440;1,003
0,711000;0,2875;0,9555;-0,0408;0,999
0,714000;0,2858;0,9599;-0,0435;1,002
0,718000;0,2880;0,9613;-0,0450;1,005
0,725000;0,2934;0,9589;-0,0420;1,004
0,726000;0,2861;0,9565;-0,0357;0,999
0,730000;0,2846;0,9550;-0,0384;0,997
0,734000;0,2836;0,9621;-0,0420;1,004
0,738000;0,2875;0,9601;-0,0406;1,003
